pathway	N367M	N515M	TD181207731	TD181207732	TD181207733	TD181207736	TD181207739	X010M	X254	X275	X283	X294	X314	X321	X341	X353	X360	X361	X385	X391	X392	X431	D22BD538_461	D22BD540_524	D22BD542_455	D22BD543_285	D22BD546_302	D22BD547_260	D22BD548_308	D22BD550_238	D22BD552_244	D22BD554_316	D22BD555_248	D22BH739_268	D22BH741_298	D22BH742_330	D22BH744_370	D22BH746_377	D22BH747_383	D22BH748_389	D22BH750_427	D22BH752_439_2	D22BH753_454_1	D22BH757_476	D22BH759_488	D22BH760_493	D22BH761_494	D22BH762_497	D22BH763_505	D22BH766_533	D22BD536_469	CRS403	CRS440	CRS511	CRS513	CRS514	CRS517	CRS532	CRS534	CRS539	CRS540	CRS548	CRS549	CRS550	CRS552	CRS553	CRS555	CRS556	CRS557	CRS559	CRS560	CRS568	CRS573	CRS579	CRS584	CRS592	CRS606	CRS608	CRS612	CRS618	CRS619	CRS626	CRS629	CRS631	CRS636	CRS652
Bacterial chemotaxis	37873.7	442549.02	103881.43	574934.08	643724.06	319751.18	181697.3	459266.81	420182.21	484999.09	338167.38	580591.99	366155.7	583950.15	850376.52	287455.96	579838.42	244970.75	485187.82	557692.76	264922.46	415620.97	7113.21	31211.29	10041.42	50218.64	16072.77	24603.83	37288.97	19068	3793.61	51997.67	12447	32067.93	31954.84	23135.92	48128.45	130167.03	18762.39	14270.31	20871.15	24965.62	6498.97	22013.39	26016.92	55674.56	108308.78	26115.51	15220.79	23397.1	1160.06	3216845.33	15055.18	27061.2	18399.26	22009	49375.7	22151.18	10708.61	8991.68	132820.91	4816.52	12173.38	84576.88	17204.43	60602.31	23374.65	13266.93	18818.83	21348.86	56038.97	12782.56	11627.11	91598.67	9644.78	127705.72	14245.12	11382.46	14936.4	5709.28	20313.83	33742.1	160607.77	3504.68	12027.67	14883.89
Bacterial invasion of epithelial cells	185.16	4629.5	8457.08	6897.71	3907.82	407	1261.5	1259.98	4787.33	3972.13	3923.13	4431.14	1720.4	2829.91	3782.69	1482.47	4688.37	3377.23	6463.66	3321.15	6719.54	4515.15	0	0	110	81	287	61.67	2040	0	0	193.11	0	1092	996.48	950	2996	7494.2	916	270	402.68	14	0	1555.33	810	3798.2	4004.32	1712	307	1056.32	102.09	306.72	46.17	53.34	18.67	26.67	608.5	0	21.83	8.67	170.67	4	26.67	0	328.67	5885.71	626	242.86	4	63.17	36.67	13.01	46.33	1823.99	7	344.5	16.67	16	54	63.67	5.33	42.59	199.91	4	144	45.69
Bacterial motility proteins	101525.9	1105312.3	248273.63	1586532.88	1677612.93	733956.01	439892.41	1018675.88	1126057.01	1326305.76	911327.05	1499640.59	952529.76	1889005.08	2232657.89	656886.45	1901462.48	587614.8	1311314.1	1604411.33	742480.41	1135179.31	2444.25	50401.62	2852.43	102218	37553.49	60385.55	88777.95	49985.75	81251.1	73546.97	5954	60643.98	63022.39	39528.62	97068.58	280814.07	34401.3	18809.27	43796.22	24383.49	5055.38	48069.43	51380	135531.93	231646.3	46211.8	31966.16	41356.57	3357.85	8604250.3	25824.82	51340.91	22473.49	31711.36	72337.26	43194.6	26630.45	25031.9	327436.6	9143.16	17272.89	20113.27	19621.34	129348.71	41211.13	36160.74	44885.24	46055.3	16351.16	16947.02	32619.81	247486.4	7451.31	336569.19	11633.75	16552.84	14941.47	11470.42	113787.32	52172.21	433274.07	8114.55	25269.64	36012.47
Bacterial secretion system	307603.28	964216.22	517386.44	1161320.09	1123903.71	429500.08	472941.4	622780.31	775240.24	978797.06	655291.01	1108882.37	746716.73	1236711.88	1230219.79	444433.22	1207465.06	531091.35	924875.29	1049884.23	801865.77	746767.59	94956.28	345335.19	150481.9	327778.16	157545.33	313493.64	551384.64	505533.04	239683.58	536735.68	142864.29	181793.55	218550.15	178578.69	178044.49	291960.95	349766.98	360538.38	99393.95	196970.8	112253.54	71596.45	93104.86	148893.36	272659.9	149964.93	134686.29	127961.14	10219.35	4621193.1	128567.45	142598.11	429143.51	478845.57	339157.53	98956.46	42935.84	54497.98	340181.03	45333.82	152220.81	563367.34	307577.53	605535.54	197154.2	117303.54	47555.32	104888.51	375526.88	232985.02	82068.2	244648.27	105209.93	199117.06	200236.89	171696.35	382191.99	87095.15	76948.93	261448.64	550113.45	35763.16	23802.78	447422.28
Bacterial toxins	30889.81	173207.05	112608.64	114991.25	112785.36	92351.28	152315.48	147662.89	116701.96	100391.07	74896.04	101751.18	91098.66	93089.18	143144.03	104880.48	91180.38	82921.91	132934.6	111674.77	115599.01	76991.5	29382.89	113267.41	41699.85	135588.1	8735.88	122848.54	166914.25	37630.41	35952.72	289324.08	55551.66	77581.02	99783.29	80680.07	71672.79	76341.94	62866.92	103009.15	30602.95	78186.54	29000.25	17506.53	31566.49	30742.07	71653.92	57327.56	52689.16	61761.74	1845.53	170103.63	38041.87	35254.71	86788.99	124394.33	43815.65	26409.51	9374.73	11406.14	54843.95	13211.25	35614.58	234553.12	67543.82	87669.7	31344.58	29644.74	8159.98	22894.75	153686.14	50160.98	18440.59	42304.85	30553.19	12783.45	55274.47	44854.32	79311.76	21230.99	2511.98	4461.38	56241.13	10146.85	3718.69	108375.74
Basal cell carcinoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Base excision repair	131212.61	320045.68	215461.43	342822.3	309255.56	226923.25	281051.08	295322.68	263434.37	299165.36	200154.11	359729.94	262979.73	333473.33	277738.94	202145.01	318008.83	196752.88	301696.27	328194.9	271541.23	209278.64	37475.15	112319.13	94536.37	141469.54	81769.47	154385.44	294426.86	68630.23	86231.51	259461.27	88520.65	81264.93	104282.21	84782.6	80899.76	100534.78	153499.19	157794.29	39883.58	130703.58	53436.76	29336.18	38366.91	50740.43	102529.17	64933.36	61733.5	58165.79	4981.98	582017.71	57301.36	54471.36	198574.93	249350.05	158723.11	48749.89	15515.31	23839.92	109613.95	20367.24	65533.14	467370.28	158533.37	382644.3	75257.16	51429.24	15843.12	36454.63	308335.08	91541.06	39703.81	72937.28	41708.24	30842.1	88126.22	81951.97	164905.69	39246.58	16408.3	58091.44	108013.23	18007.47	7378.7	251746.43
Benzoate degradation	16766.29	121217.82	289087.03	197769.84	237036.19	70620.41	56846.2	127233.06	147339.24	202914.8	136438.2	281836.79	199452.96	176909.89	362949.29	85552.93	167768.1	105922.94	180421.49	164474.44	125214.25	167946.64	11156.76	86186.64	21847.92	85889.14	4487.83	95050.1	276595.97	77103.99	108500.75	102478.11	66023.66	35200.95	46980.34	47571.06	40756.16	73933.07	33301.96	49368.94	18391.29	26808.6	11430.85	19703.14	19360.77	34136.73	63734.79	26051.79	34317.7	23691.08	1984.91	2576555.89	15515.63	38042.62	46027.14	234671.25	14883.37	49644.67	8657.49	23863.68	91429.07	10675.92	19634.86	89397.62	54066.47	45323.4	51414.37	30758.35	18538.44	24321.74	60356.46	33853.56	31744.27	67511.13	10951.26	101061.96	42342.27	66992.4	38860.35	15565.27	12604.16	15943.44	96849.7	12727.51	10219.42	286856.55
beta-Alanine metabolism	116307.96	203670.81	89580.57	291285.15	234350.62	131438.09	33492.72	117698.23	204041.07	245826.96	174597.94	332389.34	206597.39	293339.29	178960.01	84820.22	289458.4	124006.25	209531.53	252562.2	166030.14	161556.92	30418.79	60702.52	55744.35	92120.85	68415.99	111245.64	307611.63	19545.66	79987.42	106247.74	72361.99	43440.38	49153.52	51217.95	45200.64	68680.72	165859.28	116707.43	26264.37	43674.96	42734.59	21437.8	24884.33	37459.64	74768.83	33910.38	42629.3	25158.69	3556.58	896156.69	41432	53420.23	191436.47	285211.57	192686.46	46776.47	12277.35	22744.59	114344.13	17214.5	57256.1	10485.81	58750.38	296307.12	55671.39	22209.27	16092.22	30439.45	9709.72	102483.76	32157.21	66705.92	32036.43	42389.06	79383.16	87958.92	168015.73	32579.02	23993.15	11903.31	115464.64	15325.64	8728.55	315257.29
beta-Lactam resistance	116046.69	368307.71	370839.74	369761.58	373702.4	247159.58	382918.69	416542.85	260035.58	327774.65	209811.74	356931.72	257322.79	336495.12	313040.02	262716.95	320738.24	208520.09	352854.12	372111.43	332087.37	243921.79	20865.32	138485.92	105643.11	147068.45	59574.95	160417.69	306500.57	75476.66	107621.37	291718.87	97110.99	88631.01	112957.67	94766.94	93339.74	129668.03	125709.64	149537.89	35512.93	161104.14	44989.16	31217.34	40558.74	56502.19	107378.79	75948.66	60141.55	70917.79	4668.31	984256.19	36910.51	43077.73	169364.99	224841.73	261086.03	51795	11862.24	26505.8	97143.71	16094.91	52559.48	849691.76	169682.53	343279.37	82086.02	76797.24	17844.27	30392.38	556707.82	59722.06	47879.42	88479.8	20860.08	46718.31	61811.22	69129.27	121396.71	27316.07	25031.32	78627.14	133177.97	15563.15	9692.25	255800.44
Betalain biosynthesis	4577	15295.64	23900.86	25885.36	27973.58	2302.5	2225.2	5328.9	14104.88	22916.64	14980.88	25947.22	18191.8	25192.3	7435.6	3933.3	25623.5	7782.84	18426.56	20429.06	15370.28	18141.84	70.5	3682.72	64.5	1719.34	18	1721.48	1682.66	130	4643	802.88	130	951.8	598.98	809.96	1208.5	5435.48	597.28	350.66	669.76	230	250.76	921.12	799.34	2804.22	4042.72	689	593.34	686.8	89.2	160781.8	373.84	1320.28	490.34	601.52	919.56	1201.66	560	842.84	7224.86	214.42	404.84	440.66	459.6	571.06	848.16	1109.98	696.52	1216.5	325.34	337	910.34	6021.72	189.66	6331.5	370.66	397.68	345.68	127	5216	1117.26	13915.9	110.34	669.68	824.2
Bile secretion	0	352.25	9	793.82	586	82.34	1	20	246	553.42	339.57	507.48	619.75	6528	50	30.67	6091.5	135	1305.42	4433	592.17	346.58	0	256.33	0	24	0	57	51	25	8	44	4.33	38	0	54	159	150	0	0	0	0	0	10	0	70.5	81	15	23	0	0	2	252.01	21.67	17.17	31.75	2	0	90.36	6	377	29.67	0.5	20.67	11.67	3.34	58.67	0	48	15.83	26.33	17	0	69	30.5	0.5	14.67	27	19.67	72	11	0.75	9.67	1.67	0	3.33
Biofilm formation - Escherichia coli	115740.73	311411.92	177807.31	372155.26	376175.97	212753.69	149021.78	275826.67	267014.42	330605.17	207110.22	337582.72	227319.01	379256.33	245278.91	176441.93	368506.39	164771.53	325484.55	362122.67	258624.75	261104.88	23110.83	137173.22	73290.86	103309.05	65154.22	84936.59	137496.33	61574.24	49823.96	177282.11	37263.32	65458.25	71665.47	57936.95	68470.72	127202.46	89956.02	110240.19	31185.01	116737.06	35097.59	26606.13	33740.94	60085.2	105343.67	55018.24	39519.35	47856.48	3157.34	1781900.37	38575.73	38091.48	121513.37	96685.04	157399.56	28858.43	11871.11	15955.68	100713.13	11881.66	43624.41	391143.8	122453.18	288156.83	66608.97	43854.75	14345.25	28403.84	256091.24	47922.62	25565.56	86471.67	25997.71	75784.64	49475.38	37360.59	92421.55	22448.86	23763.49	108981.67	300797.58	9051.04	8770.52	85048.27
Biofilm formation - Pseudomonas aeruginosa	29671.82	177670.51	100085.66	274454.87	269280.14	84898.51	46070.65	137481.36	190745.97	239381.08	161173.15	255061.99	174810.51	306233.59	205155.95	84670.09	306225.89	109470.28	210851.49	263813.76	147612.7	200039.64	19393.03	41750.75	15733.51	45224.34	14519.49	30875.9	76980.43	5804.66	42929.27	21817.38	19531.66	17882.28	17529.97	14360.67	19523.71	50769.82	49234.35	53105.77	16382.08	14202.38	16899.99	13046.03	13974.65	30041.17	55165.23	15380.57	16384.41	9341.45	1876.89	2414968.23	26297.81	38940.79	64324.63	91186.04	48259.65	23253.45	8863.27	12099.44	91182.74	8638	27747.42	9581.62	55914.28	54016.65	39408.05	16066.6	14445.61	26065.09	6162.03	44325.09	14190.22	74449.52	23743.74	96690.04	41376.49	34712.21	63511.48	15647.98	30994.49	54980.43	187345.28	6630.03	8840.39	80571.31
Biofilm formation - Vibrio cholerae	111958.12	416360.54	214024.67	513134.93	540683.01	250388.93	219301.39	292514.2	367748.7	478419.68	297807.07	458384.23	306417.15	563876.89	644629.37	188426.12	557899.9	231978.71	442950.27	508258.93	344841.31	357356.46	48851.52	132609.34	93243.38	143890.29	43964.76	136536.25	261750.71	87060.73	114840.57	217250.34	80163.97	79673.99	94297.85	76998.14	83819.89	125645.06	174586.18	200423.03	44747.71	120634.12	60350.73	35431.6	42743.23	71283.27	127137.9	66868.76	60209.91	54658.51	5084.14	2189164.83	63790.78	72425.92	222729.42	243942.29	234582.88	51467.48	21075.7	25714.11	155534.18	22004.07	78206.31	319780.32	168666.2	234676.89	86362.38	52643.16	22997.56	49690.88	211440.29	113347.27	39830.54	113273.2	55477.54	93990.56	105571.21	87329.03	193876.41	43585.7	48875.14	82505.95	257977.05	17490.6	10392.39	223622.95
"Biosynthesis of 12-, 14- and 16-membered macrolides"	0	8	0	93	0	0	0	0	21	19.2	36	18.75	82	3	0	9	0	36	24.6	1	3	15.8	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0
Biosynthesis of ansamycins	0	0	34	412	0	0	0	0	19	48.2	44	154.5	216	16	0	0	0	0	41.6	1	24	10.8	0	5	0	0	0	0	152	23	13	47	16	21	0	0	0	0	0	0	1	1.67	0	0	0	0	20	0	0	0	0	0	0	0	0	4	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	6	0
Biosynthesis of enediyne antibiotics	0	0	143	159.5	0	0	0	0	176	165	242	0	583	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	18.37	0	0	0	0	22	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0
Biosynthesis of siderophore group nonribosomal peptides	15787.32	38316.3	22011.78	41976.88	32591.29	27003.97	5839.22	13450.48	29695.76	34339.01	24623.57	34364.78	24415.25	23112.21	33602.07	11171.69	21744.87	24524.25	32577.01	27096.72	39789.91	29932.73	14306.47	44958.04	13221.34	44393.42	850.66	37621.68	53258.14	3006.66	10819.27	85454.63	18096.32	24252.34	29590.61	24390.76	21104.2	23848.39	45711.24	52874.64	11253.5	16060.33	14156.99	6972.36	11107.63	12463.48	26131.33	18382.75	17112.85	18628.69	1005.29	163763.13	15750.24	15770.52	55100.81	47926.45	73879.57	8635.64	4015.03	3498.67	27458.44	5038.37	19642.04	2481.97	34985.25	29631.41	14170.02	5821.14	2511.65	10102.65	1923.24	33201.29	4409.94	11394	15307.76	7916.48	25770.5	18605.88	53248.83	11019.34	989.16	9078.95	53037.04	3479.5	1123.66	36466.47
Biosynthesis of type II polyketide backbone	0	5	0	51.67	0	0	0	0	3.67	11.67	46.33	15.5	114	0	0	0	0	0	20.67	1	13.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	11	0	0	0	5.67	0
Biosynthesis of type II polyketide products	0	118.5	48	1348.5	38	0	0	0	261.68	472.2	475	649.75	1119	675	61	14	640	72	352.61	464	132	156.8	0	0	0	0	0	0	0	0	0	45	0	29.5	0	0	0	398	0	0	2	3.34	0	16	0	79	190	0	0	0	6.9	10	0	16	16	58	0	0	42	3	1817	0	0	0	24	4	14	0	0	16	0	0	0	0	34	0	36	0	0	0	213	4	0	14	108.68	0
Biosynthesis of unsaturated fatty acids	1985.25	19185.63	17009.19	37485.04	52754.27	4258.27	2472.38	5476.1	27966.61	34320.46	24493.95	45488.63	33673.18	41306.77	50943.71	6194.04	39322.84	18321.95	28022.29	34477.69	21009.46	25593.74	6956.76	20629.92	1352.67	21024.99	142.33	14430.73	11770.15	555.83	8287.09	39907.82	4963	12174.69	14229.31	10769.28	10248.32	14983.21	995.26	20451.82	5792.81	7305.91	3268.64	3988.44	5979.01	7754.91	16153.58	8727.7	8035.34	8743.71	492.32	242423.2	7305.84	7830.27	4445.33	10908.44	1391.69	3055.07	2325.12	1263.75	15211.43	2158.62	5132.26	1165.11	16686.42	1648.6	7932.75	2127.08	1550.79	5250	770.34	7955.23	1317.01	9616.68	7539.55	9943.07	10266.91	5858.77	7977.22	5288.41	3411.33	15282.13	26781.21	1379.58	852.51	1712.13
Biosynthesis of vancomycin group antibiotics	0	15	0	129	0	10	0	3	64	63.8	123	345	59	23	34	0	6	27	117.4	11	57	81.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biosynthesis of various alkaloids	0	58.67	80.5	1023.5	511.5	18	41	9	251.5	148.83	86	245	285.33	192	158	49	102.5	17.67	186.33	100	104	527	2.25	23.67	1	81.42	0	19.67	164	0	0	0	0	5.75	8.5	0	11.25	26.75	44	0	0	0	3	57	0	68.75	125.5	4	0	0	0.66	29	31	234	9	2	95	10	58	32	701.25	29	13	39	3	10	0.5	13	210.5	129	17	78	32.25	859.25	2	157	0	18	0	0	47	44	16	18	95	2
Biosynthesis of various antibiotics	41689.85	82942.19	53899.13	84623.59	73503.16	69886.17	68931.22	95858.7	61841.02	77080.22	48130.27	77326.7	59211.63	89526.7	48197.24	62507.23	86420.17	47535.89	80647.58	94893.01	76894.62	55004.03	7360.91	20081.54	23320.17	26129.63	18720.49	27589.2	46799.91	12690.33	18889.62	48602.02	13787.33	15373.1	20150.76	16257.72	16317.34	23302.05	33973.93	31693.83	7969.31	33211.77	12099.64	6124.21	7838.67	11122.37	22018.99	12892.16	11424.19	12324.76	780.33	84981.27	11183.27	10848.29	44467.43	39426.94	108281.7	8064.92	3192.76	5104.58	24001.08	3745.97	14185.5	154398.85	37059.64	133350.77	14296.81	16064.28	3354.37	8090.02	101209.58	18014.59	8514	20817	8338.87	5428.16	16995	13892.35	36140.03	7101.25	3443.99	9216.28	28830.68	3123.99	1631.34	36761.88
Biosynthesis of various other secondary metabolites	0	625.24	1744.5	1349.34	697.46	115.87	150.5	88.33	1057.1	1210.54	996.43	1942.42	1324.99	1791	892.48	240.67	1917.43	689.54	1736.72	1243.26	806.77	1427.09	4	24	10	110.75	0	12	222	2	2309	58	17	62.5	23	117.33	183	871	31.17	21	35	10	0	14	26	158.83	163.36	0	63	38	5.23	53.7	30	119	53.51	15.09	47.34	30.34	112.83	15	646.84	4.83	6.17	12	24.83	29.83	53.33	12.33	65.5	62.5	18.17	11.5	66	1110.5	5.16	33.17	10.08	21.5	11.17	5.83	102	68.79	6194.74	19.5	42.34	28.68
Biosynthesis of various plant secondary metabolites	61812.88	151474.92	111969.98	158970.35	143197.27	110481.95	31046.35	119459.49	121046.23	140276.59	84516.83	145183.64	115965.46	128148.04	288420.98	81606.02	116218.58	69607.92	122727.2	128941.59	99723.71	94063.08	8249.66	32723.92	7307.09	27700.11	17526.74	28012.12	47731.3	18470.33	20553.96	49823.88	13436.99	18569.06	23315.61	18839.1	22731.42	42885.2	27036.16	29282.8	9096.36	9439.98	7788.45	10145.8	11718.03	18299.88	34706.07	15627.9	12048.13	16006.58	1376.27	244391.36	9428.48	11741.18	28932.55	39168.69	177096.71	7665.04	3468.35	4479.6	31320.52	3580.24	10897.66	78452.33	19210.05	139118.83	15427.65	11340.5	3648.47	8464.67	51771.58	19122.41	7253.45	23625.45	8617.32	11677.47	15386.42	13834.99	30417.76	8945.78	3983.83	16538.92	23991.03	2895.94	2595.69	37112.57
Biotin metabolism	219207.84	299683.01	172257.33	335682.08	321003.06	192527.38	88286.48	180668.15	245805.02	303804.79	206762.19	337688.86	217188.28	343642.3	351311.4	128120.89	335898.82	185056.28	310188.51	308287.61	272181.18	220908.04	48553.17	116974.45	65430.36	147356.29	129933.78	138703.78	251605.59	95437.66	82582.93	243540.05	62280.65	76159.94	95238.44	81586.68	74682.56	102950.49	172821.35	145149.76	41979	78644.54	54753.29	28915.72	38309.16	51235.14	102898.28	64382.8	61512.54	57206.31	2328.72	1222426.75	57138.32	63276.76	209939.73	237075.9	334075.76	37805.5	16126.73	21989.4	128639.41	20167.32	72053.76	163119.41	99671.24	550011.47	81508.9	38750.12	14992.93	41733.97	108285.8	116944.32	31392.23	83181.48	53685.1	53968.22	100768.62	84020.11	195222.65	38058.86	29673.47	101446.17	171955.17	15847.22	6400.87	216507.59
Bisphenol degradation	0	143	24	907.5	165	23	1	30	207.5	307	477.5	1525	1449	364	71	74	369.5	105	492	349	82.5	153.25	0	7	0	2	0	3	0	0	0	21	0	22	0	54	0	306	0	0	0	0	0	52.5	32	84	78	15	14	7	0	29	31.75	287	0	0	95.25	19	0	26	511.5	36	13	44	0	8	0	10	164	129.75	17	40	0	718.25	0	153.25	2	18	0	0	83	42.5	16	14	93.5	4
Bladder cancer	0	0	0	0	0	0	0	0	0	18	0	10	0	12	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brassinosteroid biosynthesis	0	0	0	0	18	0	0	0	0	0	0	0	8	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast cancer	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butanoate metabolism	150553.17	339410.72	298838.33	391894.52	407550.39	190540.14	415065.22	277774.08	298362	348229.95	234872.22	425813.91	337014.79	361002.98	608735.61	209299.66	341380.35	231463.85	346298.1	337433.97	270294.5	253965.48	55672.13	129856.44	77587.64	132546.84	103847.55	143623.5	286346.7	144046.65	102315.71	197983.37	84592.98	68844.51	92858.42	73444.16	79263.53	112295.95	125072.26	136542.04	49091.22	106382.13	52659.83	37256.32	42782.23	63139.31	125398.99	58166.94	63138.66	49116.22	6418.48	907012.58	70144.43	77368.6	167895.11	277391.91	25407.33	56100.84	20139.61	25070.04	145239.67	23506.56	67650.8	317522.37	128160.79	355597.64	92204.9	43020.82	21375.75	49902.78	210321.04	104031.16	40299.06	94007.15	62375	48536.77	113893.22	96809.08	156544.94	56795	25721.97	88339.42	217547.8	20480.67	9982.89	254697.7
C-type lectin receptor signaling pathway	0	28	0	49	0	0	0	0	336	273	0	0	91	0	0	0	42	0	49	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5-Branched dibasic acid metabolism	4315.39	88301.98	36687.96	106556.87	84492.97	35132	10725.66	23144.49	71354.46	89117.31	58776.56	101605.75	72565.17	97122.69	72517.62	18855.01	94532.15	36004.46	71379.03	72766.57	54661.24	61518.57	3241.75	38355.51	12051.5	43783.04	848.8	43329.01	84477.98	4853	18490.84	88474.82	23352	24553.28	29979.17	26670.6	22253.58	31685.87	46346.76	31907.98	6966.53	12644.23	8828.86	5526.28	10089.52	13793.82	24016.6	19868.44	15608.68	18920.19	1067.34	403767.21	2217.85	7477.12	49081.84	55899.8	74110.5	12271.08	2482.11	5322.51	29619.71	3080.24	12541.37	2695.95	4393.88	2698.39	15608.99	5807.39	3160.34	4427.51	2512.99	22823.07	7482.43	14350.89	997.81	16376.09	9695.32	15672.61	38923.89	5507.75	8620.5	12720.21	43824.55	2738.27	2122.68	70756.4
Caffeine metabolism	22	1007.5	64.5	1034.34	2485.5	53	1	462.5	841.67	888.03	833.83	1740.42	2401.49	233.5	243.33	100	207	1389	424.44	406.08	168.84	1065.88	10	30	0	47	0	0	541	51	40	167	58	67.5	0	0	72	236	7	0	2	3.34	16	74.5	88	131.5	321	2	14	20	4.26	10	0	187	7	10	26	32	47.36	25	672.83	0	0	19	5	4	15	0	15	2.5	20	14	23	304	26	47	0	3	0	4.67	60	0	4	0	54.67	5
Calcium signaling pathway	16.75	380.58	83.25	686.75	270.75	215.5	56.75	75.5	852.5	492.25	630.5	456.83	536	320.5	261.25	208.5	503	445	840.25	196.25	431.17	653.5	0	0	0	37.1	0	0	0	0	0	0	0	2	12.5	0	0	20.75	0	0	0	0	0	0	0	0	5	0	0	5.6	0.17	29	41.75	209	0	0	95.25	2	15.5	26	237.5	22	13	37	0	8	0	10	145	129.75	17	41	29	741.75	0	148.25	0	18	0	0	47	40	16	14	99.5	0
cAMP signaling pathway	16.75	528.42	8.75	973.2	303.25	214.5	55.75	63.5	632	732.18	598.15	780	373.33	10880.5	91.75	143.5	10383	201.17	2105.08	7211.75	1034.5	442	0	5	0	12.6	0	0	0	0	0	0	0	2	12.5	0	0	71.75	0	0	0	0	0	0	0	33	23	0	0	5.6	0	0	0	0	0	2	0	0	30	0	490	0	0	25	0	0	90	0	0	0	35	0	0	35	0	0	0	45	0	0	0	0	0	0	0	0
Caprolactam degradation	1114.25	20082.99	4700.38	36626.95	55919.94	2225.68	3201.7	5983.83	21364.9	28992.06	27803.16	64797.2	31727.28	22100.66	308749.45	4360.55	20818.86	14814.09	34055.81	19009.47	10012.42	29304.35	1252.25	17863.82	112.25	17252.61	3.5	12396.45	12645.66	644	14338.25	38217.32	4399.33	10056.37	12373.98	10071.28	9001.75	18819.57	792.51	8023.66	2851.76	5173.6	453.76	3244.01	4838.34	6767.56	13336.72	6761.5	5960.34	8654.14	60.88	241908.14	1174.1	4407.51	1036.54	1156.36	1540.41	3561.25	1374.92	890.34	14017.12	696.6	1223.01	1058.82	737.46	851.73	2167.66	625.56	2114.69	2183.57	583.84	2048.41	1056.84	14228.65	391.82	10366.69	435.18	746.93	540.53	2255.42	5820	1750.51	20929.16	456.26	1289.86	1340.53
